numb_features,RSS,R_squared,features,min_RSS,max_R_squared
3,1931.8845429564446,0.9999446084028165,"('DHI', 'T', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,3306.3680768726886,0.9999051987815101,"('DNI', 'WS', 'RH')",5.5365430735078636e-05,0.9999999999984126
3,83852.52389783242,0.9975957542372288,"('DNI', 'WS', 'T')",5.5365430735078636e-05,0.9999999999984126
3,203.5833432188737,0.9999941627947787,"('DNI', 'WS', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,5586.333390490588,0.9998398269037212,"('DNI', 'RH', 'T')",5.5365430735078636e-05,0.9999999999984126
3,5586.329879576066,0.9998398270043872,"('DNI', 'RH', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,5586.330811213095,0.9998398269776748,"('DNI', 'T', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,57267.70471599935,0.998358002478556,"('WS', 'RH', 'T')",5.5365430735078636e-05,0.9999999999984126
3,57267.72249447978,0.9983580019688059,"('WS', 'RH', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,57267.7622554202,0.9983580008287676,"('WS', 'T', 'DP')",5.5365430735078636e-05,0.9999999999984126
3,1544560.5761676827,0.955713876601744,"('RH', 'T', 'DP')",5.5365430735078636e-05,0.9999999999984126
4,2952.5271508810065,0.9999153442190883,"('GHI', 'DHI', 'DNI', 'WS')",7.282923197462593e-05,0.9999999999979118
4,0.061711094445871396,0.9999999982306002,"('GHI', 'DHI', 'DNI', 'RH')",7.282923197462593e-05,0.9999999999979118
4,964.3741995368156,0.9999723491616568,"('GHI', 'DHI', 'DNI', 'T')",7.282923197462593e-05,0.9999999999979118
4,0.06171561231786837,0.9999999982304707,"('GHI', 'DHI', 'DNI', 'DP')",7.282923197462593e-05,0.9999999999979118
4,8.820025295940469e-05,0.9999999999974711,"('GHI', 'DHI', 'WS', 'RH')",7.282923197462593e-05,0.9999999999979118
4,0.6518687131608751,0.9999999813094165,"('GHI', 'DHI', 'WS', 'T')",7.282923197462593e-05,0.9999999999979118
4,9.14199472813524e-05,0.9999999999973788,"('GHI', 'DHI', 'WS', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.06193958470266235,0.9999999982240487,"('GHI', 'DHI', 'RH', 'T')",7.282923197462593e-05,0.9999999999979118
4,0.06176439008092087,0.9999999982290722,"('GHI', 'DHI', 'RH', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.06184312288032346,0.9999999982268145,"('GHI', 'DHI', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,8.172546081666466e-05,0.9999999999976568,"('GHI', 'DNI', 'WS', 'RH')",7.282923197462593e-05,0.9999999999979118
4,0.6520478851844276,0.9999999813042793,"('GHI', 'DNI', 'WS', 'T')",7.282923197462593e-05,0.9999999999979118
4,8.799687748661484e-05,0.9999999999974769,"('GHI', 'DNI', 'WS', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.06197201211770309,0.999999998223119,"('GHI', 'DNI', 'RH', 'T')",7.282923197462593e-05,0.9999999999979118
4,0.06171836227682819,0.9999999982303919,"('GHI', 'DNI', 'RH', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.061778245825174806,0.9999999982286748,"('GHI', 'DNI', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.00015874785551311902,0.9999999999954483,"('GHI', 'WS', 'RH', 'T')",7.282923197462593e-05,0.9999999999979118
4,7.282923197462593e-05,0.9999999999979118,"('GHI', 'WS', 'RH', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.00014629062426288258,0.9999999999958055,"('GHI', 'WS', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.0636282480185966,0.999999998175631,"('GHI', 'RH', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,8.603116248836191e-05,0.9999999999975333,"('DHI', 'DNI', 'WS', 'RH')",7.282923197462593e-05,0.9999999999979118
4,0.6519430092850382,0.9999999813072865,"('DHI', 'DNI', 'WS', 'T')",7.282923197462593e-05,0.9999999999979118
4,9.108424326499864e-05,0.9999999999973884,"('DHI', 'DNI', 'WS', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.06184485922584212,0.999999998226765,"('DHI', 'DNI', 'RH', 'T')",7.282923197462593e-05,0.9999999999979118
4,0.06172840299877844,0.999999998230104,"('DHI', 'DNI', 'RH', 'DP')",7.282923197462593e-05,0.9999999999979118
4,0.061785855401887045,0.9999999982284566,"('DHI', 'DNI', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,4.9965973725134365,0.9999998567359991,"('DHI', 'WS', 'RH', 'T')",7.282923197462593e-05,0.9999999999979118
4,4.996395069696794,0.9999998567417997,"('DHI', 'WS', 'RH', 'DP')",7.282923197462593e-05,0.9999999999979118
4,4.9964659183598465,0.9999998567397683,"('DHI', 'WS', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,1931.8758505842243,0.9999446086520468,"('DHI', 'RH', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,203.47343424152774,0.9999941659461234,"('DNI', 'WS', 'RH', 'T')",7.282923197462593e-05,0.9999999999979118
4,203.47326250093494,0.9999941659510477,"('DNI', 'WS', 'RH', 'DP')",7.282923197462593e-05,0.9999999999979118
4,203.4733817382211,0.9999941659476288,"('DNI', 'WS', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,5586.331044212413,0.9998398269709944,"('DNI', 'RH', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
4,57267.709100254535,0.9983580023528492,"('WS', 'RH', 'T', 'DP')",7.282923197462593e-05,0.9999999999979118
5,8.798950086633133e-05,0.9999999999974771,"('GHI', 'DHI', 'DNI', 'WS', 'RH')",7.630288525685314e-05,0.9999999999978123
5,0.6519228474634959,0.9999999813078645,"('GHI', 'DHI', 'DNI', 'WS', 'T')",7.630288525685314e-05,0.9999999999978123
